data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
2020-02-25,9,3337357,0,0,0,0
2020-02-26,9,3337357,0,0,0,0
2020-02-27,9,3337357,0,0,0,0
2020-02-28,9,3337357,0,0,0,0
2020-02-29,9,3337357,0,0,0,0
2020-03-01,10,3337357,0,0,0,0
2020-03-02,10,3337357,0,0,0,0
2020-03-03,10,3337357,0,0,0,0
2020-03-04,10,3337357,0,0,0,0
2020-03-05,10,3337357,0,0,0,0
2020-03-06,10,3337357,0,0,0,0
2020-03-07,10,3337357,0,0,0,0
2020-03-08,11,3337357,1,1,0,0
2020-03-09,11,3337357,1,0,0,0
2020-03-10,11,3337357,1,0,0,0
2020-03-11,11,3337357,1,0,0,0
2020-03-12,11,3337357,1,0,0,0
2020-03-13,11,3337357,1,0,0,0
2020-03-14,11,3337357,1,0,0,0
2020-03-15,12,3337357,1,0,0,0
2020-03-16,12,3337357,1,0,0,0
2020-03-17,12,3337357,1,0,0,0
2020-03-18,12,3337357,1,0,0,0
2020-03-19,12,3337357,4,3,0,0
2020-03-20,12,3337357,5,1,0,0
2020-03-21,12,3337357,7,2,0,0
2020-03-22,13,3337357,7,0,0,0
2020-03-23,13,3337357,7,0,0,0
2020-03-24,13,3337357,9,2,0,0
2020-03-25,13,3337357,11,2,0,0
2020-03-26,13,3337357,11,0,0,0
2020-03-27,13,3337357,11,0,0,0
2020-03-28,13,3337357,14,3,0,0
2020-03-29,14,3337357,17,3,0,0
2020-03-30,14,3337357,17,0,0,0
2020-03-31,14,3337357,18,1,1,1
2020-04-01,14,3337357,18,0,1,0
2020-04-02,14,3337357,18,0,1,0
2020-04-03,14,3337357,22,4,2,1
2020-04-04,14,3337357,23,1,2,0
2020-04-05,15,3337357,28,5,2,0
2020-04-06,15,3337357,31,3,2,0
2020-04-07,15,3337357,32,1,2,0
2020-04-08,15,3337357,37,5,2,0
2020-04-09,15,3337357,37,0,3,1
2020-04-10,15,3337357,45,8,3,0
2020-04-11,15,3337357,48,3,3,0
2020-04-12,16,3337357,48,0,3,0
2020-04-13,16,3337357,50,2,3,0
2020-04-14,16,3337357,72,22,4,1
2020-04-15,16,3337357,82,10,5,1
2020-04-16,16,3337357,89,7,5,0
2020-04-17,16,3337357,110,21,7,2
2020-04-18,16,3337357,132,22,7,0
2020-04-19,17,3337357,159,27,15,8
2020-04-20,17,3337357,171,12,18,3
2020-04-21,17,3337357,210,39,19,1
2020-04-22,17,3337357,243,33,20,1
2020-04-23,17,3337357,324,81,22,2
2020-04-24,17,3337357,413,89,27,5
2020-04-25,17,3337357,501,88,29,2
2020-04-26,18,3337357,554,53,32,3
2020-04-27,18,3337357,643,89,34,2
2020-04-28,18,3337357,777,134,36,2
2020-04-29,18,3337357,957,180,41,5
2020-04-30,18,3337357,1044,87,47,6
2020-05-01,18,3337357,1226,182,53,6
2020-05-02,18,3337357,1372,146,58,5
2020-05-03,19,3337357,1441,69,64,6
2020-05-04,19,3337357,1538,97,72,8
2020-05-05,19,3337357,1606,68,80,8
2020-05-06,19,3337357,1703,97,89,9
2020-05-07,19,3337357,1867,164,98,9
2020-05-08,19,3337357,2033,166,108,10
2020-05-09,19,3337357,2172,139,114,6
2020-05-10,20,3337357,2258,86,126,12
2020-05-11,20,3337357,2343,85,138,12
2020-05-12,20,3337357,2580,237,150,12
2020-05-13,20,3337357,2761,181,164,14
2020-05-14,20,3337357,2972,211,177,13
2020-05-15,20,3337357,3212,240,187,10
2020-05-16,20,3337357,3593,381,199,12
2020-05-17,21,3337357,3816,223,210,11
2020-05-18,21,3337357,4031,215,221,11
2020-05-19,21,3337357,4316,285,231,10
2020-05-20,21,3337357,4437,121,251,20
2020-05-21,21,3337357,4916,479,262,11
2020-05-22,21,3337357,5302,386,280,18
2020-05-23,21,3337357,5630,328,301,21
2020-05-24,22,3337357,6214,584,316,15
2020-05-25,22,3337357,6682,468,337,21
2020-05-26,22,3337357,7058,376,354,17
2020-05-27,22,3337357,7580,522,368,14
2020-05-28,22,3337357,8055,475,385,17
2020-05-29,22,3337357,8618,563,406,21
2020-05-30,22,3337357,9223,605,424,18
2020-05-31,23,3337357,10288,1065,443,19
2020-06-01,23,3337357,10837,549,461,18
2020-06-02,23,3337357,11559,722,482,21
2020-06-03,23,3337357,12407,848,506,24
2020-06-04,23,3337357,13097,690,531,25
2020-06-05,23,3337357,13937,840,557,26
2020-06-06,23,3337357,14818,881,582,25
2020-06-07,24,3337357,15706,888,601,19
2020-06-08,24,3337357,15706,0,601,0
2020-06-09,24,3337357,17193,1487,640,39
2020-06-10,24,3337357,18176,983,660,20
2020-06-11,24,3337357,19200,1024,681,21
2020-06-12,24,3337357,20031,831,701,20
2020-06-13,24,3337357,20887,856,723,22
2020-06-14,25,3337357,22199,1312,744,21
2020-06-15,25,3337357,22962,763,768,24
2020-06-16,25,3337357,23632,670,793,25
2020-06-17,25,3337357,24867,1235,811,18
2020-06-18,25,3337357,25633,766,831,20
2020-06-19,25,3337357,26906,1273,848,17
2020-06-20,25,3337357,27698,792,866,18
2020-06-21,26,3337357,28657,959,884,18
2020-06-22,26,3337357,29395,738,903,19
2020-06-23,26,3337357,30248,853,920,17
2020-06-24,26,3337357,31230,982,938,18
2020-06-25,26,3337357,32065,835,958,20
2020-06-26,26,3337357,32864,799,975,17
2020-06-27,26,3337357,33521,657,993,18
2020-06-28,27,3337357,34312,791,1012,19
2020-06-29,27,3337357,35117,805,1032,20
2020-06-30,27,3337357,35962,845,1052,20
2020-07-01,27,3337357,36819,857,1072,20
2020-07-02,27,3337357,37328,509,1091,19
2020-07-03,27,3337357,38404,1076,1113,22
2020-07-04,27,3337357,39255,851,1134,21
2020-07-05,28,3337357,39935,680,1153,19
2020-07-06,28,3337357,40569,634,1172,19
2020-07-07,28,3337357,41524,955,1192,20
2020-07-08,28,3337357,42322,798,1213,21
2020-07-09,28,3337357,43191,869,1230,17
2020-07-10,28,3337357,43959,768,1246,16
2020-07-11,28,3337357,44633,674,1264,18
2020-07-12,29,3337357,45330,697,1281,17
2020-07-13,29,3337357,46296,966,1297,16
2020-07-14,29,3337357,47005,709,1314,17
2020-07-15,29,3337357,47864,859,1331,17
2020-07-16,29,3337357,48734,870,1348,17
2020-07-17,29,3337357,49253,519,1365,17
2020-07-18,29,3337357,49583,330,1381,16
2020-07-19,30,3337357,50078,495,1397,16
2020-07-20,30,3337357,50307,229,1413,16
2020-07-21,30,3337357,50951,644,1428,15
2020-07-22,30,3337357,51680,729,1443,15
2020-07-23,30,3337357,52529,849,1457,14
2020-07-24,30,3337357,53713,1184,1471,14
2020-07-25,30,3337357,54730,1017,1486,15
2020-07-26,31,3337357,55376,646,1500,14
2020-07-27,31,3337357,56204,828,1514,14
2020-07-28,31,3337357,57142,938,1527,13
2020-07-29,31,3337357,58124,982,1540,13
2020-07-30,31,3337357,58979,855,1554,14
2020-07-31,31,3337357,59725,746,1567,13
2020-08-01,31,3337357,60992,1267,1581,14
2020-08-02,32,3337357,62240,1248,1594,13
2020-08-03,32,3337357,62778,538,1607,13
2020-08-04,32,3337357,63351,573,1621,14
2020-08-05,32,3337357,64194,843,1633,12
2020-08-06,32,3337357,65093,899,1643,10
2020-08-07,32,3337357,65916,823,1654,11
2020-08-08,32,3337357,66748,832,1665,11
2020-08-09,33,3337357,67613,865,1677,12
2020-08-10,33,3337357,68237,624,1688,11
2020-08-11,33,3337357,68935,698,1700,12
2020-08-12,33,3337357,69751,816,1711,11
2020-08-13,33,3337357,70629,878,1721,10
2020-08-14,33,3337357,71232,603,1732,11
2020-08-15,33,3337357,72076,844,1742,10
2020-08-16,34,3337357,72734,658,1753,11
2020-08-17,34,3337357,72938,204,1763,10
2020-08-18,34,3337357,73701,763,1774,11
2020-08-19,34,3337357,74140,439,1784,10
2020-08-20,34,3337357,74622,482,1793,9
2020-08-21,34,3337357,74839,217,1802,9
2020-08-22,34,3337357,75470,631,1810,8
2020-08-23,35,3337357,75857,387,1818,8
2020-08-24,35,3337357,76495,638,1827,9
2020-08-25,35,3337357,76894,399,1836,9
2020-08-26,35,3337357,77317,423,1844,8
2020-08-27,35,3337357,77755,438,1853,9
2020-08-28,35,3337357,78174,419,1861,8
2020-08-29,35,3337357,78483,309,1870,9
2020-08-30,36,3337357,78637,154,1878,8
2020-08-31,36,3337357,78804,167,1887,9
2020-09-01,36,3337357,79258,454,1895,8
2020-09-02,36,3337357,79550,292,1902,7
2020-09-03,36,3337357,79797,247,1910,8
2020-09-04,36,3337357,80103,306,1917,7
2020-09-05,36,3337357,80462,359,1924,7
2020-09-06,37,3337357,80717,255,1930,6
2020-09-07,37,3337357,80786,69,1936,6
2020-09-08,37,3337357,80866,80,1943,7
2020-09-09,37,3337357,81092,226,1949,6
2020-09-10,37,3337357,81330,238,1957,8
2020-09-11,37,3337357,81440,110,1965,8
2020-09-12,37,3337357,82028,588,1972,7
2020-09-13,38,3337357,82230,202,1979,7
2020-09-14,38,3337357,82332,102,1985,6
2020-09-15,38,3337357,82595,263,1991,6
2020-09-16,38,3337357,82983,388,1996,5
2020-09-17,38,3337357,83035,52,2002,6
2020-09-18,38,3337357,83298,263,2008,6
2020-09-19,38,3337357,83950,652,2014,6
2020-09-20,39,3337357,84508,558,2019,5
2020-09-21,39,3337357,84720,212,2024,5
2020-09-22,39,3337357,85008,288,2029,5
2020-09-23,39,3337357,85559,551,2034,5
2020-09-24,39,3337357,85753,194,2040,6
2020-09-25,39,3337357,85937,184,2046,6
2020-09-26,39,3337357,86124,187,2052,6
2020-09-27,40,3337357,86294,170,2057,5
2020-09-28,40,3337357,86393,99,2062,5
2020-09-29,40,3337357,86549,156,2067,5
2020-09-30,40,3337357,86879,330,2072,5
2020-10-01,40,3337357,87504,625,2078,6
2020-10-02,40,3337357,87750,246,2085,7
2020-10-03,40,3337357,87928,178,2091,6
2020-10-04,41,3337357,88098,170,2097,6
2020-10-05,41,3337357,88135,37,2103,6
2020-10-06,41,3337357,88283,148,2109,6
2020-10-07,41,3337357,88426,143,2115,6
2020-10-08,41,3337357,88538,112,2121,6
2020-10-09,41,3337357,88653,115,2126,5
2020-10-10,41,3337357,88790,137,2132,6
2020-10-11,42,3337357,88826,36,2138,6
2020-10-12,42,3337357,88880,54,2144,6
2020-10-13,42,3337357,88954,74,2151,7
2020-10-14,42,3337357,89082,128,2157,6
2020-10-15,42,3337357,89192,110,2162,5
2020-10-16,42,3337357,89278,86,2167,5
2020-10-17,42,3337357,89365,87,2172,5
2020-10-18,43,3337357,89493,128,2177,5
2020-10-19,43,3337357,89528,35,2182,5
2020-10-20,43,3337357,89644,116,2187,5
2020-10-21,43,3337357,89746,102,2192,5
2020-10-22,43,3337357,89847,101,2196,4
2020-10-23,43,3337357,89994,147,2201,5
2020-10-24,43,3337357,90124,130,2206,5
2020-10-25,44,3337357,90177,53,2211,5
2020-10-26,44,3337357,90254,77,2216,5
2020-10-27,44,3337357,90384,130,2221,5
2020-10-28,44,3337357,90497,113,2226,5
2020-10-29,44,3337357,90564,67,2230,4
2020-10-30,44,3337357,90671,107,2234,4
2020-10-31,44,3337357,90789,118,2238,4
2020-11-01,45,3337357,90820,31,2242,4
2020-11-02,45,3337357,90918,98,2246,4
2020-11-03,45,3337357,91016,98,2250,4
2020-11-04,45,3337357,91142,126,2254,4
2020-11-05,45,3337357,91270,128,2258,4
2020-11-06,45,3337357,91407,137,2262,4
2020-11-07,45,3337357,91603,196,2266,4
2020-11-08,46,3337357,91718,115,2270,4
2020-11-09,46,3337357,91848,130,2274,4
2020-11-10,46,3337357,91939,91,2278,4
2020-11-11,46,3337357,92040,101,2282,4
2020-11-12,46,3337357,92166,126,2285,3
2020-11-13,46,3337357,92328,162,2288,3
2020-11-14,46,3337357,92480,152,2291,3
2020-11-15,47,3337357,92596,116,2295,4
2020-11-16,47,3337357,92642,46,2298,3
2020-11-17,47,3337357,92815,173,2301,3
2020-11-18,47,3337357,92951,136,2304,3
2020-11-19,47,3337357,93123,172,2308,4
2020-11-20,47,3337357,93245,122,2311,3
2020-11-21,47,3337357,93359,114,2314,3
2020-11-22,48,3337357,93440,81,2317,3
2020-11-23,48,3337357,93569,129,2321,4
2020-11-24,48,3337357,93708,139,2324,3
2020-11-25,48,3337357,93915,207,2326,2
2020-11-26,48,3337357,94060,145,2329,3
2020-11-27,48,3337357,94392,332,2331,2
2020-11-28,48,3337357,94613,221,2334,3
2020-11-29,49,3337357,94859,246,2336,2
2020-11-30,49,3337357,94984,125,2339,3
2020-12-01,49,3337357,95152,168,2341,2
2020-12-02,49,3337357,95388,236,2344,3
2020-12-03,49,3337357,95643,255,2346,2
2020-12-04,49,3337357,95898,255,2349,3
2020-12-05,49,3337357,96300,402,2351,2
2020-12-06,50,3337357,96632,332,2354,3
2020-12-07,50,3337357,96784,152,2357,3
2020-12-08,50,3337357,96973,189,2360,3
2020-12-09,50,3337357,97248,275,2363,3
2020-12-10,50,3337357,97562,314,2366,3
2020-12-11,50,3337357,97948,386,2369,3
2020-12-12,50,3337357,98177,229,2372,3
2020-12-13,51,3337357,98612,435,2376,4
2020-12-14,51,3337357,98928,316,2380,4
2020-12-15,51,3337357,99238,310,2384,4
2020-12-16,51,3337357,100011,773,2389,5
2020-12-17,51,3337357,100307,296,2394,5
2020-12-18,51,3337357,100619,312,2399,5
2020-12-19,51,3337357,100978,359,2404,5
2020-12-20,52,3337357,101285,307,2410,6
2020-12-21,52,3337357,101443,158,2417,7
2020-12-22,52,3337357,101745,302,2425,8
2020-12-23,52,3337357,102178,433,2433,8
2020-12-24,52,3337357,102569,391,2440,7
2020-12-25,52,3337357,102827,258,2447,7
2020-12-26,52,3337357,103125,298,2454,7
2020-12-27,53,3337357,103551,426,2461,7
2020-12-28,53,3337357,103748,197,2468,7
2020-12-29,53,3337357,104119,371,2475,7
2020-12-30,53,3337357,104499,380,2482,7
2020-12-31,53,3337357,104818,319,2489,7
2021-01-01,53,3337357,105091,273,2496,7
2021-01-02,53,3337357,105361,270,2502,6
2021-01-03,1,3337357,105714,353,2509,7
2021-01-04,1,3337357,106032,318,2515,6
2021-01-05,1,3337357,106410,378,2521,6
2021-01-06,1,3337357,106881,471,2529,8
2021-01-07,1,3337357,107279,398,2537,8
2021-01-08,1,3337357,107628,349,2545,8
2021-01-09,1,3337357,108109,481,2553,8
2021-01-10,2,3337357,108542,433,2561,8
2021-01-11,2,3337357,108820,278,2569,8
2021-01-12,2,3337357,109319,499,2577,8
2021-01-13,2,3337357,109720,401,2585,8
2021-01-14,2,3337357,110112,392,2593,8
2021-01-15,2,3337357,110572,460,2602,9
2021-01-16,2,3337357,110968,396,2611,9
2021-01-17,3,3337357,111443,475,2620,9
2021-01-18,3,3337357,111724,281,2629,9
2021-01-19,3,3337357,112097,373,2638,9
2021-01-20,3,3337357,112476,379,2647,9
2021-01-21,3,3337357,112854,378,2656,9
2021-01-22,3,3337357,113205,351,2665,9
2021-01-23,3,3337357,113662,457,2674,9
2021-01-24,4,3337357,114169,507,2683,9
2021-01-25,4,3337357,114836,667,2692,9
2021-01-26,4,3337357,115383,547,2701,9
2021-01-27,4,3337357,115946,563,2710,9
2021-01-28,4,3337357,116379,433,2719,9
2021-01-29,4,3337357,116773,394,2728,9
2021-01-30,4,3337357,117287,514,2737,9
2021-01-31,5,3337357,117768,481,2746,9
2021-02-01,5,3337357,118220,452,2754,8
2021-02-02,5,3337357,118741,521,2763,9
2021-02-03,5,3337357,119088,347,2771,8
2021-02-04,5,3337357,119458,370,2780,9
2021-02-05,5,3337357,120028,570,2788,8
2021-02-06,5,3337357,120455,427,2797,9
2021-02-07,6,3337357,120694,239,2805,8
2021-02-08,6,3337357,121145,451,2814,9
2021-02-09,6,3337357,121603,458,2822,8
2021-02-10,6,3337357,122025,422,2831,9
2021-02-11,6,3337357,122491,466,2839,8
2021-02-12,6,3337357,122999,508,2848,9
2021-02-13,6,3337357,123625,626,2856,8
2021-02-14,7,3337357,124295,670,2865,9
2021-02-15,7,3337357,125044,749,2873,8
2021-02-16,7,3337357,125676,632,2883,10
2021-02-17,7,3337357,126326,650,2893,10
2021-02-18,7,3337357,126952,626,2903,10
2021-02-19,7,3337357,127341,389,2913,10
2021-02-20,7,3337357,127843,502,2923,10
2021-02-21,8,3337357,128192,349,2932,9
2021-02-22,8,3337357,128501,309,2940,8
2021-02-23,8,3337357,129046,545,2949,9
2021-02-24,8,3337357,129445,399,2959,10
2021-02-25,8,3337357,129917,472,2969,10
